electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.02026,0.09099,0.0001,0.03
0.02026,0.09099,0.0001,0.03
0.02026,0.09099,0.0001,0.03
0.02026,0.09099,0.0001,0.03
0.01313,0.03793,0.00042,0.01585
0.01313,0.03793,0.00042,0.01585
0.01313,0.03793,0.00042,0.01585
0.01313,0.03793,0.00042,0.01585
0.0122,0.00496,0.00103,0.0158
0.0122,0.00496,0.00103,0.0158
0.0122,0.00496,0.00103,0.0158
0.0122,0.00496,0.00103,0.0158
0.01273,0.00143,0.0036,0.02008
0.01273,0.00143,0.0036,0.02008
0.01273,0.00143,0.0036,0.02008
0.01273,0.00143,0.0036,0.02008
0.01787,0.0,0.0122,0.0286
0.01787,0.0,0.0122,0.0286
0.01787,0.0,0.0122,0.0286
0.01787,0.0,0.0122,0.0286
0.03238,1e-05,0.065,0.06
0.03238,1e-05,0.065,0.06
0.03238,1e-05,0.065,0.06
0.03238,1e-05,0.065,0.06
0.09099,0.0001,0.16086,0.09579
0.09099,0.0001,0.16086,0.09579
0.09099,0.0001,0.16086,0.09579
0.09099,0.0001,0.16086,0.09579
0.03793,0.00042,0.15884,0.0217
0.03793,0.00042,0.15884,0.0217
0.03793,0.00042,0.15884,0.0217
0.03793,0.00042,0.15884,0.0217
0.00496,0.00103,0.1284,0.0002
0.00496,0.00103,0.1284,0.0002
0.00496,0.00103,0.1284,0.0002
0.00496,0.00103,0.1284,0.0002
0.00143,0.0036,0.10425,0.0
0.00143,0.0036,0.10425,0.0
0.00143,0.0036,0.10425,0.0
0.00143,0.0036,0.10425,0.0
0.0,0.0122,0.099,2e-05
0.0,0.0122,0.099,2e-05
0.0,0.0122,0.099,2e-05
0.0,0.0122,0.099,2e-05
1e-05,0.065,0.04739,1e-05
1e-05,0.065,0.04739,1e-05
1e-05,0.065,0.04739,1e-05
1e-05,0.065,0.04739,1e-05
0.0001,0.16086,0.03,0.0
0.0001,0.16086,0.03,0.0
0.0001,0.16086,0.03,0.0
0.0001,0.16086,0.03,0.0
0.00042,0.15884,0.01585,0.0
0.00042,0.15884,0.01585,0.0
0.00042,0.15884,0.01585,0.0
0.00042,0.15884,0.01585,0.0
0.00103,0.1284,0.0158,0.0
0.00103,0.1284,0.0158,0.0
0.00103,0.1284,0.0158,0.0
0.00103,0.1284,0.0158,0.0
0.0036,0.10425,0.02008,0.0
0.0036,0.10425,0.02008,0.0
0.0036,0.10425,0.02008,0.0
0.0036,0.10425,0.02008,0.0
0.0122,0.099,0.0286,2e-05
0.0122,0.099,0.0286,2e-05
0.0122,0.099,0.0286,2e-05
0.0122,0.099,0.0286,2e-05
0.065,0.04739,0.06,0.027
0.065,0.04739,0.06,0.027
0.065,0.04739,0.06,0.027
0.065,0.04739,0.06,0.027
0.16086,0.03,0.09579,0.12522
0.16086,0.03,0.09579,0.12522
0.16086,0.03,0.09579,0.12522
0.16086,0.03,0.09579,0.12522
0.15884,0.01585,0.0217,0.12666
0.15884,0.01585,0.0217,0.12666
0.15884,0.01585,0.0217,0.12666
0.15884,0.01585,0.0217,0.12666
0.1284,0.0158,0.0002,0.10494
0.1284,0.0158,0.0002,0.10494
0.1284,0.0158,0.0002,0.10494
0.1284,0.0158,0.0002,0.10494
0.10425,0.02008,0.0,0.09733
0.10425,0.02008,0.0,0.09733
0.10425,0.02008,0.0,0.09733
0.10425,0.02008,0.0,0.09733
0.099,0.0286,2e-05,0.05468
0.099,0.0286,2e-05,0.05468
0.099,0.0286,2e-05,0.05468
0.099,0.0286,2e-05,0.05468
0.04739,0.06,1e-05,0.04739
0.04739,0.06,1e-05,0.01329
0.04739,0.06,1e-05,0.0036
0.04739,0.06,1e-05,0.002
0.03,0.09579,0.0,0.02026
0.03,0.09579,0.0,0.03
0.03,0.09579,0.0,0.037
0.03,0.09579,0.0,0.01063
0.01585,0.0217,0.0,0.01313
0.01585,0.0217,0.0,0.01585
0.01585,0.0217,0.0,0.02161
0.01585,0.0217,0.0,0.007
0.0158,0.0002,0.0,0.0122
0.0158,0.0002,0.0,0.0158
0.0158,0.0002,0.0,0.0208
0.0158,0.0002,0.0,0.005
0.02008,0.0,0.0,0.01273
0.02008,0.0,0.0,0.02008
0.02008,0.0,0.0,0.0208
0.02008,0.0,0.0,0.00496
0.0286,2e-05,2e-05,0.01787
0.0286,2e-05,2e-05,0.0286
0.0286,2e-05,2e-05,0.0295
0.0286,2e-05,2e-05,0.00496
0.06,1e-05,0.027,0.03238
0.06,1e-05,0.027,0.06
0.06,1e-05,0.027,0.0514
0.06,1e-05,0.027,0.005
0.09579,0.0,0.12522,0.09099
0.09579,0.0,0.12522,0.09579
0.09579,0.0,0.12522,0.0869
0.09579,0.0,0.12522,0.00352
0.0217,0.0,0.12666,0.03793
0.0217,0.0,0.12666,0.0217
0.0217,0.0,0.12666,0.02008
0.0217,0.0,0.12666,0.0
0.0002,0.0,0.10494,0.00496
0.0002,0.0,0.10494,0.0002
0.0002,0.0,0.10494,2e-05
0.0002,0.0,0.10494,-0.00101
0.0,0.0,0.09733,0.00143
0.0,0.0,0.09733,0.0
0.0,0.0,0.09733,0.0
0.0,0.0,0.09733,0.00087
2e-05,2e-05,0.05468,0.0
2e-05,2e-05,0.05468,2e-05
2e-05,2e-05,0.05468,0.0
2e-05,2e-05,0.05468,0.0011
1e-05,0.027,0.04739,1e-05
1e-05,0.027,0.01329,1e-05
1e-05,0.027,0.0036,0.0
1e-05,0.027,0.002,0.00087
0.0,0.12522,0.02026,0.0001
0.0,0.12522,0.03,0.0
0.0,0.12522,0.037,-2e-05
0.0,0.12522,0.01063,0.0005
0.0,0.12666,0.01313,0.00042
0.0,0.12666,0.01585,0.0
0.0,0.12666,0.02161,-0.0001
0.0,0.12666,0.007,0.0001
0.0,0.10494,0.0122,0.00103
0.0,0.10494,0.0158,0.0
0.0,0.10494,0.0208,-2e-05
0.0,0.10494,0.005,0.0001
0.0,0.09733,0.01273,0.0036
0.0,0.09733,0.02008,0.0
0.0,0.09733,0.0208,-2e-05
0.0,0.09733,0.00496,0.0001
2e-05,0.05468,0.01787,0.0122
2e-05,0.05468,0.0286,2e-05
2e-05,0.05468,0.0295,0.0
2e-05,0.05468,0.00496,2e-05
0.027,0.04739,0.03238,0.065
0.027,0.01329,0.06,0.027
0.027,0.0036,0.0514,0.00352
0.027,0.002,0.005,0.0
0.12522,0.02026,0.09099,0.16086
0.12522,0.03,0.09579,0.12522
0.12522,0.037,0.0869,0.062
0.12522,0.01063,0.00352,0.01113
0.12666,0.01313,0.03793,0.15884
0.12666,0.01585,0.0217,0.12666
0.12666,0.02161,0.02008,0.08536
0.12666,0.007,0.0,0.02016
0.10494,0.0122,0.00496,0.1284
0.10494,0.0158,0.0002,0.10494
0.10494,0.0208,2e-05,0.06353
0.10494,0.005,-0.00101,0.01858
0.09733,0.01273,0.00143,0.10425
0.09733,0.02008,0.0,0.09733
0.09733,0.0208,0.0,0.05
0.09733,0.00496,0.00087,0.01113
0.05468,0.01787,0.0,0.099
0.05468,0.0286,2e-05,0.05468
0.05468,0.0295,0.0,0.0208
0.05468,0.00496,0.0011,0.006
0.04739,0.03238,1e-05,0.0514
0.01329,0.06,1e-05,0.0514
0.0036,0.0514,0.0,0.0514
0.002,0.005,0.00087,0.0514
0.02026,0.09099,0.0001,0.037
0.03,0.09579,0.0,0.037
0.037,0.0869,-2e-05,0.037
0.01063,0.00352,0.0005,0.037
0.01313,0.03793,0.00042,0.02161
0.01585,0.0217,0.0,0.02161
0.02161,0.02008,-0.0001,0.02161
0.007,0.0,0.0001,0.02161
0.0122,0.00496,0.00103,0.0208
0.0158,0.0002,0.0,0.0208
0.0208,2e-05,-2e-05,0.0208
0.005,-0.00101,0.0001,0.0208
0.01273,0.00143,0.0036,0.0208
0.02008,0.0,0.0,0.0208
0.0208,0.0,-2e-05,0.0208
0.00496,0.00087,0.0001,0.0208
0.01787,0.0,0.0122,0.0295
0.0286,2e-05,2e-05,0.0295
0.0295,0.0,0.0,0.0295
0.00496,0.0011,2e-05,0.0295
0.03238,1e-05,0.065,0.0514
0.06,1e-05,0.027,0.0514
0.0514,0.0,0.00352,0.0514
0.005,0.00087,0.0,0.0514
0.09099,0.0001,0.16086,0.0869
0.09579,0.0,0.12522,0.0869
0.0869,-2e-05,0.062,0.0869
0.00352,0.0005,0.01113,0.0869
0.03793,0.00042,0.15884,0.02008
0.0217,0.0,0.12666,0.02008
0.02008,-0.0001,0.08536,0.02008
0.0,0.0001,0.02016,0.02008
0.00496,0.00103,0.1284,2e-05
0.0002,0.0,0.10494,2e-05
2e-05,-2e-05,0.06353,2e-05
-0.00101,0.0001,0.01858,2e-05
0.00143,0.0036,0.10425,0.0
0.0,0.0,0.09733,0.0
0.0,-2e-05,0.05,0.0
0.00087,0.0001,0.01113,0.0
0.0,0.0122,0.099,0.0
2e-05,2e-05,0.05468,0.0
0.0,0.0,0.0208,0.0
0.0011,2e-05,0.006,0.0
1e-05,0.065,0.0514,0.0
1e-05,0.027,0.0514,0.0
0.0,0.00352,0.0514,0.0
0.00087,0.0,0.0514,0.0
0.0001,0.16086,0.037,-2e-05
0.0,0.12522,0.037,-2e-05
-2e-05,0.062,0.037,-2e-05
0.0005,0.01113,0.037,-2e-05
0.00042,0.15884,0.02161,-0.0001
0.0,0.12666,0.02161,-0.0001
-0.0001,0.08536,0.02161,-0.0001
0.0001,0.02016,0.02161,-0.0001
0.00103,0.1284,0.0208,-2e-05
0.0,0.10494,0.0208,-2e-05
-2e-05,0.06353,0.0208,-2e-05
0.0001,0.01858,0.0208,-2e-05
0.0036,0.10425,0.0208,-2e-05
0.0,0.09733,0.0208,-2e-05
-2e-05,0.05,0.0208,-2e-05
0.0001,0.01113,0.0208,-2e-05
0.0122,0.099,0.0295,0.0
2e-05,0.05468,0.0295,0.0
0.0,0.0208,0.0295,0.0
2e-05,0.006,0.0295,0.0
0.065,0.0514,0.0514,0.00352
0.027,0.0514,0.0514,0.00352
0.00352,0.0514,0.0514,0.00352
0.0,0.0514,0.0514,0.00352
0.16086,0.037,0.0869,0.062
0.12522,0.037,0.0869,0.062
0.062,0.037,0.0869,0.062
0.01113,0.037,0.0869,0.062
0.15884,0.02161,0.02008,0.08536
0.12666,0.02161,0.02008,0.08536
0.08536,0.02161,0.02008,0.08536
0.02016,0.02161,0.02008,0.08536
0.1284,0.0208,2e-05,0.06353
0.10494,0.0208,2e-05,0.06353
0.06353,0.0208,2e-05,0.06353
0.01858,0.0208,2e-05,0.06353
0.10425,0.0208,0.0,0.05
0.09733,0.0208,0.0,0.05
0.05,0.0208,0.0,0.05
0.01113,0.0208,0.0,0.05
0.099,0.0295,0.0,0.0208
0.05468,0.0295,0.0,0.0208
0.0208,0.0295,0.0,0.0208
0.006,0.0295,0.0,0.0208
0.0514,0.0514,0.0,0.01329
0.0514,0.0514,0.0,0.01329
0.0514,0.0514,0.0,0.01329
0.0514,0.0514,0.0,0.01329
0.037,0.0869,-2e-05,0.01063
0.037,0.0869,-2e-05,0.01063
0.037,0.0869,-2e-05,0.01063
0.037,0.0869,-2e-05,0.01063
0.02161,0.02008,-0.0001,0.007
0.02161,0.02008,-0.0001,0.007
0.02161,0.02008,-0.0001,0.007
0.02161,0.02008,-0.0001,0.007
0.0208,2e-05,-2e-05,0.005
0.0208,2e-05,-2e-05,0.005
0.0208,2e-05,-2e-05,0.005
0.0208,2e-05,-2e-05,0.005
0.0208,0.0,-2e-05,0.00496
0.0208,0.0,-2e-05,0.00496
0.0208,0.0,-2e-05,0.00496
0.0208,0.0,-2e-05,0.00496
0.0295,0.0,0.0,0.00496
0.0295,0.0,0.0,0.00496
0.0295,0.0,0.0,0.00496
0.0295,0.0,0.0,0.00496
0.0514,0.0,0.00352,0.005
0.0514,0.0,0.00352,0.005
0.0514,0.0,0.00352,0.005
0.0514,0.0,0.00352,0.005
0.0869,-2e-05,0.062,0.00352
0.0869,-2e-05,0.062,0.00352
0.0869,-2e-05,0.062,0.00352
0.0869,-2e-05,0.062,0.00352
0.02008,-0.0001,0.08536,0.0
0.02008,-0.0001,0.08536,0.0
0.02008,-0.0001,0.08536,0.0
0.02008,-0.0001,0.08536,0.0
2e-05,-2e-05,0.06353,-0.00101
2e-05,-2e-05,0.06353,-0.00101
2e-05,-2e-05,0.06353,-0.00101
2e-05,-2e-05,0.06353,-0.00101
0.0,-2e-05,0.05,0.00087
0.0,-2e-05,0.05,0.00087
0.0,-2e-05,0.05,0.00087
0.0,-2e-05,0.05,0.00087
0.0,0.0,0.0208,0.0011
0.0,0.0,0.0208,0.0011
0.0,0.0,0.0208,0.0011
0.0,0.0,0.0208,0.0011
0.0,0.00352,0.01329,0.00087
0.0,0.00352,0.01329,0.00087
0.0,0.00352,0.01329,0.00087
0.0,0.00352,0.01329,0.00087
-2e-05,0.062,0.01063,0.0005
-2e-05,0.062,0.01063,0.0005
-2e-05,0.062,0.01063,0.0005
-2e-05,0.062,0.01063,0.0005
-0.0001,0.08536,0.007,0.0001
-0.0001,0.08536,0.007,0.0001
-0.0001,0.08536,0.007,0.0001
-0.0001,0.08536,0.007,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.06353,0.005,0.0001
-2e-05,0.05,0.00496,0.0001
-2e-05,0.05,0.00496,0.0001
-2e-05,0.05,0.00496,0.0001
-2e-05,0.05,0.00496,0.0001
0.0,0.0208,0.00496,2e-05
0.0,0.0208,0.00496,2e-05
0.0,0.0208,0.00496,2e-05
0.0,0.0208,0.00496,2e-05
0.00352,0.01329,0.005,0.0
0.00352,0.01329,0.005,0.0
0.00352,0.01329,0.005,0.0
0.00352,0.01329,0.005,0.0
0.062,0.01063,0.00352,0.01113
0.062,0.01063,0.00352,0.01113
0.062,0.01063,0.00352,0.01113
0.062,0.01063,0.00352,0.01113
0.08536,0.007,0.0,0.02016
0.08536,0.007,0.0,0.02016
0.08536,0.007,0.0,0.02016
0.08536,0.007,0.0,0.02016
0.06353,0.005,-0.00101,0.01858
0.06353,0.005,-0.00101,0.01858
0.06353,0.005,-0.00101,0.01858
0.06353,0.005,-0.00101,0.01858
0.05,0.00496,0.00087,0.01113
0.05,0.00496,0.00087,0.01113
0.05,0.00496,0.00087,0.01113
0.05,0.00496,0.00087,0.01113
0.0208,0.00496,0.0011,0.006
0.0208,0.00496,0.0011,0.006
0.0208,0.00496,0.0011,0.006
0.0208,0.00496,0.0011,0.006
0.01329,0.005,0.00087,0.0036
0.01329,0.005,0.00087,0.0036
0.01329,0.005,0.00087,0.0036
0.01329,0.005,0.00087,0.0036
0.01063,0.00352,0.0005,0.0032
0.01063,0.00352,0.0005,0.0032
0.01063,0.00352,0.0005,0.0032
0.01063,0.00352,0.0005,0.0032
0.007,0.0,0.0001,0.00065
0.007,0.0,0.0001,0.00065
0.007,0.0,0.0001,0.00065
0.007,0.0,0.0001,0.00065
0.005,-0.00101,0.0001,0.0001
0.005,-0.00101,0.0001,0.0001
0.005,-0.00101,0.0001,0.0001
0.005,-0.00101,0.0001,0.0001
0.00496,0.00087,0.0001,9e-05
0.00496,0.00087,0.0001,9e-05
0.00496,0.00087,0.0001,9e-05
0.00496,0.00087,0.0001,9e-05
0.00496,0.0011,2e-05,0.00017
0.00496,0.0011,2e-05,0.00017
0.00496,0.0011,2e-05,0.00017
0.00496,0.0011,2e-05,0.00017
0.005,0.00087,0.0,0.00013
0.005,0.00087,0.0,0.00013
0.005,0.00087,0.0,0.00013
0.005,0.00087,0.0,0.00013
0.00352,0.0005,0.01113,0.0
0.00352,0.0005,0.01113,0.0
0.00352,0.0005,0.01113,0.0
0.00352,0.0005,0.01113,0.0
0.0,0.0001,0.02016,-0.00153
0.0,0.0001,0.02016,-0.00153
0.0,0.0001,0.02016,-0.00153
0.0,0.0001,0.02016,-0.00153
-0.00101,0.0001,0.01858,-0.00231
-0.00101,0.0001,0.01858,-0.00231
-0.00101,0.0001,0.01858,-0.00231
-0.00101,0.0001,0.01858,-0.00231
0.00087,0.0001,0.01113,-0.0038
0.00087,0.0001,0.01113,-0.0038
0.00087,0.0001,0.01113,-0.0038
0.00087,0.0001,0.01113,-0.0038
0.0011,2e-05,0.006,-0.004
0.0011,2e-05,0.006,-0.004
0.0011,2e-05,0.006,-0.004
0.0011,2e-05,0.006,-0.004
0.00087,0.0,0.0036,-0.00343
0.00087,0.0,0.0036,-0.00343
0.00087,0.0,0.0036,-0.00343
0.00087,0.0,0.0036,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0005,0.01113,0.0032,-0.00343
0.0001,0.02016,0.00065,-0.00203
0.0001,0.02016,0.00065,-0.00203
0.0001,0.02016,0.00065,-0.00203
0.0001,0.02016,0.00065,-0.00203
0.0001,0.01858,0.0001,-0.002
0.0001,0.01858,0.0001,-0.002
0.0001,0.01858,0.0001,-0.002
0.0001,0.01858,0.0001,-0.002
0.0001,0.01113,9e-05,-0.00151
0.0001,0.01113,9e-05,-0.00151
0.0001,0.01113,9e-05,-0.00151
0.0001,0.01113,9e-05,-0.00151
2e-05,0.006,0.00017,-0.00151
2e-05,0.006,0.00017,-0.00151
2e-05,0.006,0.00017,-0.00151
2e-05,0.006,0.00017,-0.00151
0.0,0.0036,0.00013,2e-05
0.0,0.0036,0.00013,2e-05
0.0,0.0036,0.00013,2e-05
0.0,0.0036,0.00013,2e-05
0.01113,0.0032,0.0,0.02546
0.01113,0.0032,0.0,0.02546
0.01113,0.0032,0.0,0.02546
0.01113,0.0032,0.0,0.02546
0.02016,0.00065,-0.00153,0.03501
0.02016,0.00065,-0.00153,0.03501
0.02016,0.00065,-0.00153,0.03501
0.02016,0.00065,-0.00153,0.03501
0.01858,0.0001,-0.00231,0.02563
0.01858,0.0001,-0.00231,0.02563
0.01858,0.0001,-0.00231,0.02563
0.01858,0.0001,-0.00231,0.02563
0.01113,9e-05,-0.0038,0.01063
0.01113,9e-05,-0.0038,0.01063
0.01113,9e-05,-0.0038,0.01063
0.01113,9e-05,-0.0038,0.01063
0.006,0.00017,-0.004,0.00065
0.006,0.00017,-0.004,0.00065
0.006,0.00017,-0.004,0.00065
0.006,0.00017,-0.004,0.00065
0.0036,0.00013,-0.00343,0.002
0.0036,0.00013,-0.00343,0.002
0.0036,0.00013,-0.00343,0.002
0.0036,0.00013,-0.00343,0.002
0.0032,0.0,-0.00343,0.003
0.0032,0.0,-0.00343,0.003
0.0032,0.0,-0.00343,0.003
0.0032,0.0,-0.00343,0.003
0.00065,-0.00153,-0.00203,0.00065
0.00065,-0.00153,-0.00203,0.00065
0.00065,-0.00153,-0.00203,0.00065
0.00065,-0.00153,-0.00203,0.00065
0.0001,-0.00231,-0.002,0.00065
0.0001,-0.00231,-0.002,0.00065
0.0001,-0.00231,-0.002,0.00065
0.0001,-0.00231,-0.002,0.00065
9e-05,-0.0038,-0.00151,0.001
9e-05,-0.0038,-0.00151,0.001
9e-05,-0.0038,-0.00151,0.001
9e-05,-0.0038,-0.00151,0.001
0.00017,-0.004,-0.00151,0.00744
0.00017,-0.004,-0.00151,0.00744
0.00017,-0.004,-0.00151,0.00744
0.00017,-0.004,-0.00151,0.00744
0.00013,-0.00343,2e-05,0.02
0.00013,-0.00343,2e-05,0.02
0.00013,-0.00343,2e-05,0.02
0.00013,-0.00343,2e-05,0.02
0.0,-0.00343,0.02546,0.04016
0.0,-0.00343,0.02546,0.04016
0.0,-0.00343,0.02546,0.04016
0.0,-0.00343,0.02546,0.04016
-0.00153,-0.00203,0.03501,0.00015
-0.00153,-0.00203,0.03501,0.00015
-0.00153,-0.00203,0.03501,0.00015
-0.00153,-0.00203,0.03501,0.00015
-0.00231,-0.002,0.02563,-1e-05
-0.00231,-0.002,0.02563,-1e-05
-0.00231,-0.002,0.02563,-1e-05
-0.00231,-0.002,0.02563,-1e-05
-0.0038,-0.00151,0.01063,-0.0001
-0.0038,-0.00151,0.01063,-0.0001
-0.0038,-0.00151,0.01063,-0.0001
-0.0038,-0.00151,0.01063,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,0.02546,0.003,-2e-05
-0.00343,0.02546,0.003,-2e-05
-0.00343,0.02546,0.003,-2e-05
-0.00343,0.02546,0.003,-2e-05
-0.00203,0.03501,0.00065,0.0
-0.00203,0.03501,0.00065,0.0
-0.00203,0.03501,0.00065,0.0
-0.00203,0.03501,0.00065,0.0
-0.002,0.02563,0.00065,2e-05
-0.002,0.02563,0.00065,2e-05
-0.002,0.02563,0.00065,2e-05
-0.002,0.02563,0.00065,2e-05
-0.00151,0.01063,0.001,0.00012
-0.00151,0.01063,0.001,0.00012
-0.00151,0.01063,0.001,0.00012
-0.00151,0.01063,0.001,0.00012
-0.00151,0.00065,0.00744,0.0002
-0.00151,0.00065,0.00744,0.0002
-0.00151,0.00065,0.00744,0.0002
-0.00151,0.00065,0.00744,0.0002
2e-05,0.002,0.02,0.055
2e-05,0.002,0.02,0.055
2e-05,0.002,0.02,0.055
2e-05,0.002,0.02,0.055
0.02546,0.003,0.04016,0.14679
0.02546,0.003,0.04016,0.14679
0.02546,0.003,0.04016,0.14679
0.02546,0.003,0.04016,0.14679
0.03501,0.00065,0.00015,0.19725
0.03501,0.00065,0.00015,0.19725
0.03501,0.00065,0.00015,0.19725
0.03501,0.00065,0.00015,0.19725
0.02563,0.00065,-1e-05,0.11985
0.02563,0.00065,-1e-05,0.11985
0.02563,0.00065,-1e-05,0.11985
0.02563,0.00065,-1e-05,0.11985
0.01063,0.001,-0.0001,0.09501
0.01063,0.001,-0.0001,0.09501
0.01063,0.001,-0.0001,0.09501
0.01063,0.001,-0.0001,0.09501
0.00065,0.00744,-0.0001,0.09
0.00065,0.00744,-0.0001,0.09
0.00065,0.00744,-0.0001,0.09
0.00065,0.00744,-0.0001,0.09
0.002,0.02,-0.0001,0.07578
0.002,0.02,-0.0001,0.07578
0.002,0.02,-0.0001,0.07578
0.002,0.02,-0.0001,0.07578
0.003,0.04016,-2e-05,0.07003
0.003,0.04016,-2e-05,0.07003
0.003,0.04016,-2e-05,0.07003
0.003,0.04016,-2e-05,0.07003
0.00065,0.00015,0.0,0.06048
0.00065,0.00015,0.0,0.06048
0.00065,0.00015,0.0,0.06048
0.00065,0.00015,0.0,0.06048
0.00065,-1e-05,2e-05,0.06159
0.00065,-1e-05,2e-05,0.06159
0.00065,-1e-05,2e-05,0.06159
0.00065,-1e-05,2e-05,0.06159
0.001,-0.0001,0.00012,0.0682
0.001,-0.0001,0.00012,0.0682
0.001,-0.0001,0.00012,0.0682
0.001,-0.0001,0.00012,0.0682
0.00744,-0.0001,0.0002,0.0842
0.00744,-0.0001,0.0002,0.0842
0.00744,-0.0001,0.0002,0.0842
0.00744,-0.0001,0.0002,0.0842
0.02,-0.0001,0.055,0.1555
0.02,-0.0001,0.055,0.1555
0.02,-0.0001,0.055,0.1555
0.02,-0.0001,0.055,0.1555
0.04016,-2e-05,0.14679,0.15937
0.04016,-2e-05,0.14679,0.15937
0.04016,-2e-05,0.14679,0.15937
0.04016,-2e-05,0.14679,0.15937
0.00015,0.0,0.19725,0.08797
0.00015,0.0,0.19725,0.08797
0.00015,0.0,0.19725,0.08797
0.00015,0.0,0.19725,0.08797
-1e-05,2e-05,0.11985,0.0381
